"ID","StuNun","Data"
"837","gs10","啞鈴"
"838","gs31","蛋糕"
"839","gs17","豆子"
"840","gs08","飛盤"
"841","gs17","哈密瓜"
"842","gs36","眼睛"
"843","gs38","電燈"
"844","gs08","桌子"
"845","gs10","帽子"
"846","gs39","颱風"
"847","gs31","漩渦"
"849","gs40","眼球"
"850","gs38","水管"
"851","gs28","標靶"
"852","gs36","光碟"
"853","gs40","奶頭"
"854","gs39","啞鈴"
"855","gs40","乳暈"
"856","gs10","飛盤"
"857","gs40","地球"
"858","gs03","吸盤"
"859","gs08","飛碟"
"860","gs39","輪胎"
"861","gs31","乳暈"
"862","gs40","方向盤"
"863","gs03","球"
"864","gs40","球"
"865","gs40","標靶"
"866","gs39","飛盤"
"867","gs40","輪胎"
"868","gs31","時鐘"
"869","gs40","氣球"
"870","gs08","靶"
"871","gs40","圓圈"
"872","gs17","旋轉桌"
"873","gs17","彈珠"
"875","gs31","瓷盤"
"876","gs31","膠片"
"877","gs10","龍捲風"
"878","gs17","保齡球"
"879","gs10","大聲公"
"880","gs17","西瓜"
"881","gs17","甜瓜"
"882","gs39","奶頭"
"883","gs17","香瓜"
"884","gs10","銅板"
"885","gs17","棒棒糖"
"886","gs39","乳暈"
"887","gs17","光碟"
"888","gs10","眼睛"
"889","gs08","眼睛"
"890","gs10","三個圓"
"891","gs10","奶頭"
"892","gs08","齒輪"
"893","gs10","筆頭"
"894","gs08","槍管"
"895","hs43","輪子"
"896","hs17","箭靶"
"897","hs13","箭靶"
"898","hs17","棒棒糖"
"899","hs13","視覺測驗"
"900","hs17","奶子"
"901","hs17","乳暈"
"902","hs13","盾牌"
"903","hs17","籃球"
"904","hs13","輪胎"
"905","hs17","棒球"
"906","hs13","培靈"
"907","hs17","保齡球"
"908","hs17","網球"
"909","hs13","山坡(地勢圖)"
"910","hs17","卵子"
"911","hs13","四個圓圈"
"912","hs17","腦袋"
"913","hs41","標靶"
"914","hs17","伸縮棒"
"915","hs41","準星"
"916","hs13","俄羅斯娃娃"
"917","hs41","瞳孔"
"918","hs17","警棍"
"919","hs41","輪子"
"920","hs17","飛盤"
"922","hs25","同心圓"
"923","hs17","箭頭"
"924","hs17","降落點"
"925","hs25","甜甜圈"
"926","hs41","奶子"
"927","hs41","乳暈"
"928","hs25","鹹鹹圈"
"929","hs25","辣辣圈"
"930","hs25","苦苦圈"
"931","hs41","狙擊鏡"
"932","hs41","萬花筒"
"933","hs25","草莓甜甜圈"
"934","hs25","巧克力甜甜圈"
"935","hs34","奶頭"
"936","hs34","望遠鏡"
"937","hs07","催眠"
"938","hs25","輪胎"
"939","hs07","螺旋槳"
"940","hs07","漏斗"
"941","hs34","乳暈"
"942","hs07","滑水道"
"943","hs41","望遠鏡"
"944","hs07","眼球"
"945","hs07","迷宮"
"946","hs07","徽章"
"947","hs34","貝殼"
"948","hs07","別針"
"949","hs34","隧道"
"950","hs41","田螺紋路"
"951","hs34","眼鏡框"
"952","hs25","青蛙眼"
"953","hs34","狙擊鏡"
"954","hs05","輪子"
"956","hs34","鷹眼"
